;ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;HARGA SATUAN PEKERJAAN PERSIAPAN;;;;;;;;;
;(K3) Pembuatan 1 m2 pagar sementara dari kayu tinggi 2 meter;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1;Rp93.000;Rp93.000,00;;;
;;Mandor;L.04;OH;0,005;Rp111.000;Rp555,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp93.555,00;;;
;B;BAHAN;;;;;;;;
;;Batu belah;M.453; M3 ;0,15;Rp213.000;Rp31.950,00;;;
;;Batu pecah;M.450; M3 ;0,09;Rp273.700;Rp24.633,00;;;
;;Pasir pasang;M.48; m3 ;0,01;Rp131.100;Rp1.311,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp57.894,00;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp151.449,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp14.387,66;;;
PP12;F;Harga Satuan Pekerjaan (D+E);;;;;Rp165.836,66;12;;
;;;;;;;;;;
;Pembongkaran  1 m3 beton bertulang;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1,3334;Rp93.000;Rp124.006,20;;;
;;Mandor;L.04;OH;0,666;Rp111.000;Rp73.926,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp197.932,20;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp197.932,20;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp18.803,56;;;
PP13;F;Harga Satuan Pekerjaan (D+E);;;;;Rp216.735,76;13;;
;;;;;;;;;;
;Pembongkaran  1 m3 dinding tembok bata;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,6667;Rp93.000;Rp62.003,10;;;
;;Mandor;L.04;OH;0,333;Rp111.000;Rp36.963,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp98.966,10;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp98.966,10;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp9.401,78;;;
PP14;F;Harga Satuan Pekerjaan (D+E);;;;;Rp108.367,88;14;;
;;;;;;;;;;
;Pemasangan 1 m2 pagar kawat jaring galvanis panjang 240 cm;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,042;Rp93.000;Rp3.906,00;;;
;;Tukang;L.02;OH;0,004;Rp98.000;Rp392,00;;;
;;Kepala Tukang;L.03;OH;0,002;Rp106.000;Rp212,00;;;
;;Mandor;L.04;OH;0,042;Rp111.000;Rp4.662,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp9.172,00;;;
;B;BAHAN;;;;;;;;
;;Kawat jaring;;Lbr;0,1434;164000;Rp23.517,60;;;
;;;;JUMLAH HARGA BAHAN;;;Rp23.517,60;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp32.689,60;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp3.105,51;;;
PP15;F;Harga Satuan Pekerjaan (D+E);;;;;Rp35.795,11;15;;
;;;;;;;;;;
;Pemasangan 1 m2 panel beton pracetak 5x50x240 cm;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,375;Rp93.000;Rp34.875,00;;;
;;Tukang;L.02;OH;0,125;Rp98.000;Rp12.250,00;;;
;;Kepala Tukang;L.03;OH;0,012;Rp106.000;Rp1.272,00;;;
;;Mandor;L.04;OH;0,019;Rp111.000;Rp2.109,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp50.506,00;;;
;B;BAHAN;;;;;;;;
;;Panel Beton Pracetak;M.495; Lbr ;0,986;Rp1.572.600;Rp1.550.583,60;;;
;;Kolom Benton Pracetak;M.496; Batang ;0,525;Rp551.200;Rp289.380,00;;;
;;Semen portland;M.11; Kg ;45;Rp1.250;Rp56.250,00;;;
;;Pasir beton;M.46; m3 ;0,074;Rp103.800;Rp7.681,20;;;
;;Koral;M.488; m3 ;0,146;Rp148.400;Rp21.666,40;;;
;;;;JUMLAH HARGA BAHAN;;;Rp1.925.561,20;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp1.976.067,20;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp187.726,38;;;
PP16;F;Harga Satuan Pekerjaan (D+E);;;;;Rp2.163.793,58;16;;
;;;;;;;;;;
;HARGA SATUAN PEKERJAAN TANAH;;;;;;;;;
;Penggalian 1 m3 tanah biasa sedalam 1 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,75;Rp93.000;Rp69.750,00;;;
;;Mandor;L.04;OH;0,025;Rp111.000;Rp2.775,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp72.525,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp72.525,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp6.889,88;;;
PT1;F;Harga Satuan Pekerjaan (D+E);;;;;Rp79.414,88;1;;
;;;;;;;;;;
;Penggalian 1 m3 tanah biasa sedalam 2 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,9;Rp93.000;Rp83.700,00;;;
;;Mandor;L.04;OH;0,045;Rp111.000;Rp4.995,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp88.695,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp88.695,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp8.426,03;;;
PT2;F;Harga Satuan Pekerjaan (D+E);;;;;Rp97.121,03;2;;
;;;;;;;;;;
;Menggali 1 m3 tanah biasa sedalam 3 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1,05;Rp93.000;Rp97.650,00;;;
;;Mandor;L.04;OH;0,067;Rp111.000;Rp7.437,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp105.087,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp105.087,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp9.983,27;;;
PT3;F;Harga Satuan Pekerjaan (D+E);;;;;Rp115.070,27;3;;
;;;;;;;;;;
;Menggali 1 m3 tanah keras sedalam 1 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1;Rp93.000;Rp93.000,00;;;
;;Mandor;L.04;OH;0,032;Rp111.000;Rp3.552,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp96.552,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp96.552,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp9.172,44;;;
PT4;F;Harga Satuan Pekerjaan (D+E);;;;;Rp105.724,44;4;;
;;;;;;;;;;
;Menggali 1 m3 tanah cadas sedalam 1 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1,5;Rp93.000;Rp139.500,00;;;
;;Mandor;L.04;OH;0,06;Rp111.000;Rp6.660,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp146.160,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp146.160,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp13.885,20;;;
PT5;F;Harga Satuan Pekerjaan (D+E);;;;;Rp160.045,20;5;;
;;;;;;;;;;
;Menggali 1 m3 tanah lumpur sedalam 1 m;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1,2;Rp93.000;Rp111.600,00;;;
;;Mandor;L.04;OH;0,045;Rp111.000;Rp4.995,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp116.595,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp116.595,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp11.076,53;;;
