REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
183;PPL3;A.4.4.3.3.;Pemasangan 1 m2 lantai ubin PC abu-abu ukuran 20cm x20 cm;m2;Rp176.270
184;PPL4;A.4.4.3.4.;Pemasangan 1 m2 lantai ubin warna ukuran 40cm x40 cm;m2;Rp182.406
185;PPL5;A.4.4.3.5.;Pemasangan 1 m2 lantai ubin warna ukuran 30cm x30cm;m2;Rp198.589
186;PPL6;A.4.4.3.6.;Pemasangan 1 m2 lantai ubin warna ukuran 20cm x20cm;m2;Rp202.765
187;PPL7;A.4.4.3.7.;Pemasangan 1 m2 lantai ubin teraso ukuran 40cm x40cm;m2;Rp179.502
188;PPL8;A.4.4.3.8.;Pemasangan 1 m2 lantai ubin teraso ukuran 30cm x30cm;m2;Rp182.991
189;PPL9;A.4.4.3.9.;Pemasangan 1 m2 lantai ubin granit ukuran 40cm x40cm;m2;Rp196.925
190;PPL10;A.4.4.3.10.;Pemasangan 1 m2 lantai ubin granit ukuran 30cm x30cm;m2;Rp182.991
191;PPL11;A.4.4.3.11.;Pemasangan 1 m2 lantai ubin teralux marmer ukuran 40cm x40cm;m2;Rp180.954
192;PPL12;A.4.4.3.12.;Pemasangan 1 m2 lantai ubin teralux ukuran 30cm x30cm;m2;Rp182.991
193;PPL13;A.4.4.3.13.;Pemasangan 1 m2 lantai ubin teralux marmer ukuran 60cm x60cm;m2;Rp190.578
194;PPL14;A.4.4.3.14.;Pemasangan 1 m2 lantai ubin teralux marmer ukuran 40cm x40cm;m2;Rp198.377
195;PPL15;A.4.4.3.15.;Pemasangan 1 m2 lantai ubin teralux marmer ukuran 30cm x30cm;m2;Rp182.991
196;PPL16;A.4.4.3.16.;Pemasangan 1 m’ plint ubin Pc abu-abu ukuran 15cm x 20cm;m';Rp117.325
197;PPL17;A.4.4.3.17.;Pemasangan 1 m’ plint ubin Pc abu-abu ukuran 10cm x 30cm;m';Rp79.424
198;PPL18;A.4.4.3.18.;Pemasangan 1 m’ plint ubin Pc abu-abu ukuran 10cm x 40cm;m';Rp64.679
199;PPL19;A.4.4.3.19.;Pemasangan 1 m’ plint ubin warna ukuran 10cm x 20cm;m';Rp66.579
200;PPL20;A.4.4.3.20.;Pemasangan 1 m’ plint ubin warna ukuran 10cm x 30cm;m';Rp84.222
201;PPL21;A.4.4.3.21.;Pemasangan 1 m’ plint ubin warna ukuran 10cm x 40cm;m';Rp72.962
202;PPL22;A.4.4.3.22.;Pemasangan 1 m’ plint ubin teraso ukuran 10cm x 30cm;m';Rp80.743
203;PPL23;A.4.4.3.23.;Pemasangan 1 m’ plint ubin teraso ukuran 10cm x 40cm;m';Rp65.998
204;PPL24;A.4.4.3.24.;Pemasangan 1 m’ plint ubin granit ukuran 10cm x 60cm;m';Rp65.708
205;PPL25;A.4.4.3.25.;Pemasangan 1 m’ plint ubin granit ukuran 10cm x 30cm;m';Rp79.197
206;PPL26;A.4.4.3.26.;Pemasangan 1 m’ plint ubin teralux kerang ukuran 10cm x 40cm;m';Rp65.393
